id,vic,nsw,qld,act,nt,sa,tas,wa
858,,1.0,1.0,1.0,1.0,,,1.0
878,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
881,,,,,,,,1.0
883,1.0,1.0,1.0,,1.0,,,1.0
885,,1.0,,,,1.0,,
887,1.0,,1.0,,1.0,,,1.0
889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
890,,1.0,,,,,1.0,
891,1.0,1.0,1.0,1.0,,1.0,1.0,
892,,,,,,,,
