,Common name,Binomial,Category,Order,Family
297,Red-necked avocet,Recurvirostra novaehollandiae,Avocets and stilts,Charadriiformes,Recurvirostridae
298,Banded stilt,Cladorhynchus leucocephalus,Avocets and stilts,Charadriiformes,Recurvirostridae
299,Pacific golden plover,Pluvialis fulva,Plovers and lapwings,Charadriiformes,Charadriidae
300,American golden plover,Pluvialis dominicus,Plovers and lapwings,Charadriiformes,Charadriidae
301,Grey plover,Pluvialis squatarola,Plovers and lapwings,Charadriiformes,Charadriidae
302,Ringed plover,Charadrius hiaticula,Plovers and lapwings,Charadriiformes,Charadriidae
303,Little ringed plover,Charadrius dubius,Plovers and lapwings,Charadriiformes,Charadriidae
304,Kentish plover,Charadrius alexandrinus,Plovers and lapwings,Charadriiformes,Charadriidae
305,Red-capped plover,Charadrius ruficapillus,Plovers and lapwings,Charadriiformes,Charadriidae
306,Double-banded plover,Charadrius bicinctus,Plovers and lapwings,Charadriiformes,Charadriidae
307,Lesser sand plover,Charadrius mongolus,Plovers and lapwings,Charadriiformes,Charadriidae
308,Greater sand plover,Charadrius leschenaultii,Plovers and lapwings,Charadriiformes,Charadriidae
309,Caspian plover,Charadrius asiaticus,Plovers and lapwings,Charadriiformes,Charadriidae
310,Oriental plover,Charadrius veredus,Plovers and lapwings,Charadriiformes,Charadriidae
311,Inland dotterel,Charadrius australis,Plovers and lapwings,Charadriiformes,Charadriidae
312,Black-fronted dotterel,Elseyornis melanops,Plovers and lapwings,Charadriiformes,Charadriidae
313,Hooded plover,Thinornis cucullatus,Plovers and lapwings,Charadriiformes,Charadriidae
314,Red-kneed dotterel,Erythrogonys cinctus,Plovers and lapwings,Charadriiformes,Charadriidae
315,Banded lapwing,Vanellus tricolor,Plovers and lapwings,Charadriiformes,Charadriidae
316,Masked lapwing,Vanellus miles,Plovers and lapwings,Charadriiformes,Charadriidae
317,Grey-headed lapwing,Vanellus cinereus,Plovers and lapwings,Charadriiformes,Charadriidae
318,Plains wanderer,Pedionomus torquatus,Plains wanderer,Charadriiformes,Pedionomidae
319,Comb-crested jacana,Irediparra gallinacea,Jacanas,Charadriiformes,Jacanidae
320,Pheasant-tailed jacana,Hydrophasianus chirurgus,Jacanas,Charadriiformes,Jacanidae
321,Australian painted-snipe,Rostratula australis,Painted-snipe,Charadriiformes,Rostratulidae
322,Latham's snipe,Gallinago hardwickii,Waders or shorebirds,Charadriiformes,Scolopacidae
323,Pin-tailed snipe,Gallinago stenura,Waders or shorebirds,Charadriiformes,Scolopacidae
324,Swinhoe's snipe,Gallinago megala,Waders or shorebirds,Charadriiformes,Scolopacidae
325,Black-tailed godwit,Limosa limosa,Waders or shorebirds,Charadriiformes,Scolopacidae
326,Hudsonian godwit,Limosa haemastica,Waders or shorebirds,Charadriiformes,Scolopacidae
327,Bar-tailed godwit,Limosa lapponica,Waders or shorebirds,Charadriiformes,Scolopacidae
328,Little curlew,Numenius minutus,Waders or shorebirds,Charadriiformes,Scolopacidae
329,Whimbrel,Numenius phaeopus,Waders or shorebirds,Charadriiformes,Scolopacidae
330,Eastern curlew,Numenius madagascariensis,Waders or shorebirds,Charadriiformes,Scolopacidae
331,Upland sandpiper,Bartramia longicauda,Waders or shorebirds,Charadriiformes,Scolopacidae
332,Terek sandpiper,Xenus cinereus,Waders or shorebirds,Charadriiformes,Scolopacidae
333,Common sandpiper,Actitis hypoleucos,Waders or shorebirds,Charadriiformes,Scolopacidae
334,Green sandpiper,Tringa ochropus,Waders or shorebirds,Charadriiformes,Scolopacidae
335,Grey-tailed tattler,Tringa brevipes,Waders or shorebirds,Charadriiformes,Scolopacidae
336,Wandering tattler,Tringa incana,Waders or shorebirds,Charadriiformes,Scolopacidae
337,Spotted redshank,Tringa erythropus,Waders or shorebirds,Charadriiformes,Scolopacidae
338,Nordmann's greenshank,Tringa guttifer,Waders or shorebirds,Charadriiformes,Scolopacidae
339,Common greenshank,Tringa nebularia,Waders or shorebirds,Charadriiformes,Scolopacidae
340,Lesser yellowlegs,Tringa flavipes,Waders or shorebirds,Charadriiformes,Scolopacidae
341,Marsh sandpiper,Tringa stagnatilis,Waders or shorebirds,Charadriiformes,Scolopacidae
342,Common redshank,Tringa totanus,Waders or shorebirds,Charadriiformes,Scolopacidae
343,Wood sandpiper,Tringa glareola,Waders or shorebirds,Charadriiformes,Scolopacidae
344,Ruddy turnstone,Arenaria interpres,Waders or shorebirds,Charadriiformes,Scolopacidae
345,Asian dowitcher,Limnodromus semipalmatus,Waders or shorebirds,Charadriiformes,Scolopacidae
346,Short-billed dowitcher,Limnodromus griseus,Waders or shorebirds,Charadriiformes,Scolopacidae
347,Great knot,Calidris tenuirostris,Waders or shorebirds,Charadriiformes,Scolopacidae
348,Red knot,Calidris canutus,Waders or shorebirds,Charadriiformes,Scolopacidae
349,Sanderling,Calidris alba,Waders or shorebirds,Charadriiformes,Scolopacidae
350,Little stint,Calidris minuta,Waders or shorebirds,Charadriiformes,Scolopacidae
351,Red-necked stint,Calidris ruficollis,Waders or shorebirds,Charadriiformes,Scolopacidae
352,Long-toed stint,Calidris subminuta,Waders or shorebirds,Charadriiformes,Scolopacidae
353,White-rumped sandpiper,Calidris fuscicollis,Waders or shorebirds,Charadriiformes,Scolopacidae
354,Baird's sandpiper,Calidris bairdii,Waders or shorebirds,Charadriiformes,Scolopacidae
355,Pectoral sandpiper,Calidris melanotos,Waders or shorebirds,Charadriiformes,Scolopacidae
356,Sharp-tailed sandpiper,Calidris acuminata,Waders or shorebirds,Charadriiformes,Scolopacidae
357,Dunlin,Calidris alpina,Waders or shorebirds,Charadriiformes,Scolopacidae
358,Curlew sandpiper,Calidris ferruginea,Waders or shorebirds,Charadriiformes,Scolopacidae
359,Stilt sandpiper,Calidris himantopus,Waders or shorebirds,Charadriiformes,Scolopacidae
360,Buff-breasted sandpiper,Tryngites subruficollis,Waders or shorebirds,Charadriiformes,Scolopacidae
361,Broad-billed sandpiper,Limicola falcinellus,Waders or shorebirds,Charadriiformes,Scolopacidae
362,Ruff,Philomachus pugnax,Waders or shorebirds,Charadriiformes,Scolopacidae
363,Wilson's phalarope,Steganopus tricolor,Waders or shorebirds,Charadriiformes,Scolopacidae
364,Red-necked phalarope,Phalaropus lobatus,Waders or shorebirds,Charadriiformes,Scolopacidae
365,Grey phalarope,Phalaropus fulicarius,Waders or shorebirds,Charadriiformes,Scolopacidae
366,Red-backed buttonquail,Turnix maculosus,Buttonquail,Charadriiformes,Turnicidae
367,Black-breasted buttonquail,Turnix melanogaster,Buttonquail,Charadriiformes,Turnicidae
368,Chestnut-backed buttonquail,Turnix castanotus,Buttonquail,Charadriiformes,Turnicidae
369,Buff-breasted buttonquail,Turnix olivii,Buttonquail,Charadriiformes,Turnicidae
370,Painted buttonquail,Turnix varius,Buttonquail,Charadriiformes,Turnicidae
371,Red-chested buttonquail,Turnix pyrrhothorax,Buttonquail,Charadriiformes,Turnicidae
372,Little buttonquail,Turnix velox,Buttonquail,Charadriiformes,Turnicidae
373,Oriental pratincole,Glareola maldivarum,Pratincoles,Charadriiformes,Glareolidae
374,Australian pratincole,Stiltia isabella,Pratincoles,Charadriiformes,Glareolidae
375,South polar skua,Stercorarius maccormicki,Skuas,Charadriiformes,Stercorariidae
376,Brown skua,Stercorarius antarcticus,Skuas,Charadriiformes,Stercorariidae
377,Pomarine jaeger,Stercorarius pomarinus,Skuas,Charadriiformes,Stercorariidae
378,Arctic jaeger,Stercorarius parasiticus,Skuas,Charadriiformes,Stercorariidae
379,Long-tailed jaeger,Stercorarius longicauda,Skuas,Charadriiformes,Stercorariidae
380,Common noddy,Anous stolidus,Gulls and terns,Charadriiformes,Laridae
381,Black noddy,Anous minutus,Gulls and terns,Charadriiformes,Laridae
382,Lesser noddy,Anous tenuirostris,Gulls and terns,Charadriiformes,Laridae
383,White tern,Gygis alba,Gulls and terns,Charadriiformes,Laridae
384,Grey ternlet,Procelsterna cerulea,Gulls and terns,Charadriiformes,Laridae
385,Bridled tern,Onychoprion anaethetus,Gulls and terns,Charadriiformes,Laridae
386,Sooty tern,Onychoprion fuscata,Gulls and terns,Charadriiformes,Laridae
387,Little tern,Sternula albifrons,Gulls and terns,Charadriiformes,Laridae
388,Fairy tern,Sternula nereis,Gulls and terns,Charadriiformes,Laridae
389,Gull-billed tern,Gelochelidon nilotica,Gulls and terns,Charadriiformes,Laridae
390,Caspian tern,Hydroprogne caspia,Gulls and terns,Charadriiformes,Laridae
391,Whiskered tern,Chlidonias hybrida,Gulls and terns,Charadriiformes,Laridae
392,White-winged black tern,Chlidonias leucopterus,Gulls and terns,Charadriiformes,Laridae
393,Black tern,Chlidonias niger,Gulls and terns,Charadriiformes,Laridae
394,Roseate tern,Sterna dougallii,Gulls and terns,Charadriiformes,Laridae
395,White-fronted tern,Sterna striata,Gulls and terns,Charadriiformes,Laridae
396,Black-naped tern,Sterna sumatrana,Gulls and terns,Charadriiformes,Laridae
397,Common tern,Sterna hirundo,Gulls and terns,Charadriiformes,Laridae
398,Arctic tern,Sterna paradisaea,Gulls and terns,Charadriiformes,Laridae
399,Antarctic tern,Sterna vittata,Gulls and terns,Charadriiformes,Laridae
400,Lesser crested tern,Thalasseus bengalensis,Gulls and terns,Charadriiformes,Laridae
401,Crested tern,Thalasseus bergii,Gulls and terns,Charadriiformes,Laridae
402,Pacific gull,Larus pacificus,Gulls and terns,Charadriiformes,Laridae
403,Lesser black-backed gull,Larus fuscus,Gulls and terns,Charadriiformes,Laridae
404,Kelp gull,Larus dominicanus,Gulls and terns,Charadriiformes,Laridae
405,Mew gull,Larus canus,Gulls and terns,Charadriiformes,Laridae
406,Black-tailed gull,Larus crassirostris,Gulls and terns,Charadriiformes,Laridae
407,Laughing gull,Leucophaeus atricilla,Gulls and terns,Charadriiformes,Laridae
408,Franklin's gull,Leucophaeus pipixcan,Gulls and terns,Charadriiformes,Laridae
409,Silver gull,Chroicocephalus novaehollandiae,Gulls and terns,Charadriiformes,Laridae
410,Black-headed gull,Chroicocephalus ridibundus,Gulls and terns,Charadriiformes,Laridae
411,Sabine's gull,Xema sabini,Gulls and terns,Charadriiformes,Laridae
412,Norfolk kaka,Nestor productus,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
413,Palm cockatoo,Probosciger aterrimus,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
414,Red-tailed black cockatoo,Calyptorhynchus banksii,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
415,Glossy black cockatoo,Calyptorhynchus lathami,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
416,Yellow-tailed black cockatoo,Calyptorhynchus funereus,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
417,Carnaby's black cockatoo,Calyptorhynchus latirostris,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
418,Baudin's black cockatoo,Calyptorhynchus baudinii,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
419,Gang-gang cockatoo,Callocephalon fimbriatum,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
420,Major Mitchell's cockatoo,Lophochroa leadbeateri,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
421,Galah,Eolophus roseicapilla,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
422,Long-billed corella,Cacatua tenuirostris,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
423,Western corella,Cacatua pastinator,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
424,Little corella,Cacatua sanguinea,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
425,Sulphur-crested cockatoo,Cacatua galerita,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
426,Cockatiel,Nymphicus hollandicus,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
427,Rainbow lorikeet,Trichoglossus moluccanus,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
428,Red-collared lorikeet,Trichoglossus rubritorquis,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
429,Coconut lorikeet,Trichoglossus haematodus,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
430,Scaly-breasted lorikeet,Trichoglossus chlorolepidotus,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
431,Varied lorikeet,Psitteuteles versicolor,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
432,Musk lorikeet,Glossopsitta concinna,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
433,Little lorikeet,Glossopsitta pusilla,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
434,Purple-crowned lorikeet,Glossopsitta porphyrocephala,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
435,Double-eyed fig parrot,Cyclopsitta diophthalma,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
436,Eclectus parrot,Eclectus roratus,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
437,Red-cheeked parrot,Geoffroyus geoffroyi,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
438,Australian king parrot,Alisterus scapularis,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
439,Red-winged parrot,Aprosmictus erythropterus,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
440,Superb parrot,Polytelis swainsonii,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
441,Regent parrot,Polytelis anthopeplus,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
442,Princess parrot,Polytelis alexandrae,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
443,Green rosella,Platycercus caledonicus,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
444,Crimson rosella,Platycercus elegans,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
445,Eastern rosella,Platycercus eximius,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
446,Pale-headed rosella,Platycercus adscitus,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
447,Northern rosella,Platycercus venustus,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
448,Western rosella,Platycercus icterotis,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
449,Australian ringneck,Barnardius zonarius,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
450,Red-capped parrot,Purpureicephalus spurius,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
451,Bluebonnet,Northiella haematogaster,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
452,Swift parrot,Lathamus discolor,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
453,Red-rumped parrot,Psephotus haematonotus,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
454,Mulga parrot,Psephotus varius,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
455,Golden-shouldered parrot,Psephotus chrysopterygius,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
456,Hooded parrot,Psephotus dissimilis,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
457,Paradise parrot,Psephotus pulcherrimus,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
458,Tasman parakeet,Cyanoramphus cookii,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
459,Norfolk Island green parrot,Norfolk Island,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
460,Lord Howe red-crowned parakeet,Lord Howe Island,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
461,Red-fronted parakeet,Cyanoramphus novaezelandiae,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
462,Budgerigar,Melopsittacus undulatus,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
463,Bourke's parrot,Neopsephotus bourkii,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
464,Blue-winged parrot,Neophema chrysostoma,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
465,Elegant parrot,Neophema elegans,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
466,Rock parrot,Neophema petrophila,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
467,Orange-bellied parrot,Neophema chrysogaster,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
468,Turquoise parrot,Neophema pulchella,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
469,Scarlet-chested parrot,Neophema splendida,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
470,Eastern ground parrot,Pezoporus wallicus,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
471,Western ground parrot,Pezoporus flaviventris,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
472,Night parrot,Pezoporus occidentalis,Parrots and allies,Psittaciformes,"Strigopidae, Cacatuidae and Psittaculidae"
473,Lesser coucal,Centropus bengalensis,Cuckoos,Cuculiformes,Cuculidae
474,Pheasant coucal,Centropus phasianinus,Cuckoos,Cuculiformes,Cuculidae
475,Asian koel,Eudynamys scolopaceus,Cuckoos,Cuculiformes,Cuculidae
476,Eastern koel,Eudynamys orientalis,Cuckoos,Cuculiformes,Cuculidae
477,Long-tailed cuckoo,Eudynamys taitensis,Cuckoos,Cuculiformes,Cuculidae
478,Channel-billed cuckoo,Scythrops novaehollandiae,Cuckoos,Cuculiformes,Cuculidae
479,Horsfield's bronze cuckoo,Chalcites basalis,Cuckoos,Cuculiformes,Cuculidae
480,Black-eared cuckoo,Chalcites osculans,Cuckoos,Cuculiformes,Cuculidae
481,Shining bronze cuckoo,Chalcites lucidus,Cuckoos,Cuculiformes,Cuculidae
482,Little bronze cuckoo,Chalcites minutillus,Cuckoos,Cuculiformes,Cuculidae
483,Pallid cuckoo,Cacomantis pallidus,Cuckoos,Cuculiformes,Cuculidae
484,Chestnut-breasted cuckoo,Cacomantis castaneiventris,Cuckoos,Cuculiformes,Cuculidae
485,Fan-tailed cuckoo,Cacomantis flabelliformis,Cuckoos,Cuculiformes,Cuculidae
486,Brush cuckoo,Cacomantis variolosus,Cuckoos,Cuculiformes,Cuculidae
487,Oriental cuckoo,Cuculus optatus,Cuckoos,Cuculiformes,Cuculidae
488,Large hawk-cuckoo,Hierococcyx sparverioides,Cuckoos,Cuculiformes,Cuculidae
489,Powerful owl,Ninox strenua,True owls,Strigiformes,Strigidae
490,Rufous owl,Ninox rufa,True owls,Strigiformes,Strigidae
491,Barking owl,Ninox connivens,True owls,Strigiformes,Strigidae
492,Southern boobook,Ninox boobook,True owls,Strigiformes,Strigidae
493,Brown hawk-owl,Ninox scutulata,True owls,Strigiformes,Strigidae
494,Christmas Island hawk-owl,Ninox natalis,True owls,Strigiformes,Strigidae
495,Buffy fish owl,Bubo ketupu,True owls,Strigiformes,Strigidae
496,Greater sooty owl,Tyto tenebricosa,Barn owls,Strigiformes,Tytonidae
497,Lesser sooty owl,Tyto multipunctata,Barn owls,Strigiformes,Tytonidae
498,Masked owl,Tyto novaehollandiae,Barn owls,Strigiformes,Tytonidae
499,Eastern barn owl,Tyto delicatula,Barn owls,Strigiformes,Tytonidae
500,Eastern grass owl,Tyto longimembris,Barn owls,Strigiformes,Tytonidae
501,Common kingfisher,Alcedo atthis,Kingfishers,Coraciiformes,Alcedinidae
502,Azure kingfisher,Ceyx azureus,Kingfishers,Coraciiformes,Alcedinidae
503,Little kingfisher,Ceyx pusillus,Kingfishers,Coraciiformes,Alcedinidae
504,Buff-breasted paradise kingfisher,Tanysiptera sylvia,Kingfishers,Coraciiformes,Alcedinidae
505,Little paradise kingfisher,Tanysiptera hydrocharis,Kingfishers,Coraciiformes,Alcedinidae
506,Common paradise kingfisher,Tanysiptera galatea,Kingfishers,Coraciiformes,Alcedinidae
507,Laughing kookaburra,Dacelo novaeguineae,Kingfishers,Coraciiformes,Alcedinidae
508,Blue-winged kookaburra,Dacelo leachii,Kingfishers,Coraciiformes,Alcedinidae
509,Yellow-billed kingfisher,Syma torotoro,Kingfishers,Coraciiformes,Alcedinidae
510,Forest kingfisher,Todiramphus macleayii,Kingfishers,Coraciiformes,Alcedinidae
511,Red-backed kingfisher,Todiramphus pyrrhopygia,Kingfishers,Coraciiformes,Alcedinidae
512,Sacred kingfisher,Todiramphus sanctus,Kingfishers,Coraciiformes,Alcedinidae
513,Torresian kingfisher,Todiramphus sordidus,Kingfishers,Coraciiformes,Alcedinidae
514,Black-capped kingfisher,Halcyon pileata,Kingfishers,Coraciiformes,Alcedinidae
515,Rainbow bee-eater,Merops ornatus,Bee-eaters,Coraciiformes,Meropidae
516,Dollarbird,Eurystomus orientalis,Rollers,Coraciiformes,Coraciidae
517,Papuan pitta,Erythropitta macklotii,Pittas,Passeriformes,Pittidae
518,Blue-winged pitta,Pitta moluccensis,Pittas,Passeriformes,Pittidae
519,Noisy pitta,Pitta versicolor,Pittas,Passeriformes,Pittidae
520,Rainbow pitta,Pitta iris,Pittas,Passeriformes,Pittidae
521,Fairy pitta,Pitta nympha,Pittas,Passeriformes,Pittidae
522,Albert's lyrebird,Menura alberti,Lyrebirds,Passeriformes,Menuridae
523,Superb lyrebird,Menura novaehollandiae,Lyrebirds,Passeriformes,Menuridae
524,Rufous scrubbird,Atrichornis rufescens,Scrubbirds,Passeriformes,Atrichornithidae
525,Noisy scrubbird,Atrichornis clamosus,Scrubbirds,Passeriformes,Atrichornithidae
526,White-throated treecreeper,Cormobates leucophaea,Australasian treecreepers,Passeriformes,Climacteridae
527,White-browed treecreeper,Climacteris affinis,Australasian treecreepers,Passeriformes,Climacteridae
528,Red-browed treecreeper,Climacteris erythrops,Australasian treecreepers,Passeriformes,Climacteridae
529,Brown treecreeper,Climacteris picumnus,Australasian treecreepers,Passeriformes,Climacteridae
530,Black-tailed treecreeper,Climacteris melanura,Australasian treecreepers,Passeriformes,Climacteridae
531,Rufous treecreeper,Climacteris rufa,Australasian treecreepers,Passeriformes,Climacteridae
532,Spotted catbird,Ailuroedus maculosus,Bowerbirds and catbirds,Passeriformes,Ptilonorhynchidae
533,Green catbird,Ailuroedus crassirostris,Bowerbirds and catbirds,Passeriformes,Ptilonorhynchidae
534,Black-eared catbird,Ailuroedus melanotis,Bowerbirds and catbirds,Passeriformes,Ptilonorhynchidae
535,Tooth-billed bowerbird,Scenopoeetes dentirostris,Bowerbirds and catbirds,Passeriformes,Ptilonorhynchidae
536,Golden bowerbird,Amblyornis newtonianus,Bowerbirds and catbirds,Passeriformes,Ptilonorhynchidae
537,Regent bowerbird,Sericulus chrysocephalus,Bowerbirds and catbirds,Passeriformes,Ptilonorhynchidae
538,Satin bowerbird,Ptilonorhynchus violaceus,Bowerbirds and catbirds,Passeriformes,Ptilonorhynchidae
539,Spotted bowerbird,Ptilonorhynchus maculatus,Bowerbirds and catbirds,Passeriformes,Ptilonorhynchidae
540,Western bowerbird,Ptilonorhynchus guttatus,Bowerbirds and catbirds,Passeriformes,Ptilonorhynchidae
541,Great bowerbird,Ptilonorhynchus nuchalis,Bowerbirds and catbirds,Passeriformes,Ptilonorhynchidae
542,Fawn-breasted bowerbird,Ptilonorhynchus cerviniventris,Bowerbirds and catbirds,Passeriformes,Ptilonorhynchidae
543,Superb fairywren,Malurus cyaneus,"Fairywrens, emu-wrens and grasswrens",Passeriformes,Maluridae
544,Splendid fairywren,Malurus splendens,"Fairywrens, emu-wrens and grasswrens",Passeriformes,Maluridae
545,Purple-crowned fairywren,Malurus coronatus,"Fairywrens, emu-wrens and grasswrens",Passeriformes,Maluridae
546,Red-backed fairywren,Malurus melanocephalus,"Fairywrens, emu-wrens and grasswrens",Passeriformes,Maluridae
547,White-winged fairywren,Malurus leucopterus,"Fairywrens, emu-wrens and grasswrens",Passeriformes,Maluridae
548,Variegated fairywren,Malurus lamberti,"Fairywrens, emu-wrens and grasswrens",Passeriformes,Maluridae
549,Lovely fairywren,Malurus amabilis,"Fairywrens, emu-wrens and grasswrens",Passeriformes,Maluridae
550,Blue-breasted fairywren,Malurus pulcherrimus,"Fairywrens, emu-wrens and grasswrens",Passeriformes,Maluridae
551,Red-winged fairywren,Malurus elegans,"Fairywrens, emu-wrens and grasswrens",Passeriformes,Maluridae
552,Southern emu-wren,Stipiturus malachurus,"Fairywrens, emu-wrens and grasswrens",Passeriformes,Maluridae
553,Mallee emu-wren,Stipiturus mallee,"Fairywrens, emu-wrens and grasswrens",Passeriformes,Maluridae
554,Rufous-crowned emu-wren,Stipiturus ruficeps,"Fairywrens, emu-wrens and grasswrens",Passeriformes,Maluridae
555,Grey grasswren,Amytornis barbatus,"Fairywrens, emu-wrens and grasswrens",Passeriformes,Maluridae
556,Striated grasswren,Amytornis striatus,"Fairywrens, emu-wrens and grasswrens",Passeriformes,Maluridae
557,Short-tailed grasswren,Amytornis merrotsyi,"Fairywrens, emu-wrens and grasswrens",Passeriformes,Maluridae
558,White-throated grasswren,Amytornis woodwardi,"Fairywrens, emu-wrens and grasswrens",Passeriformes,Maluridae
559,Carpentarian grasswren,Amytornis dorotheae,"Fairywrens, emu-wrens and grasswrens",Passeriformes,Maluridae
560,Thick-billed grasswren,Amytornis textilis,"Fairywrens, emu-wrens and grasswrens",Passeriformes,Maluridae
561,Dusky grasswren,Amytornis purnelli,"Fairywrens, emu-wrens and grasswrens",Passeriformes,Maluridae
562,Kalkadoon grasswren,Amytornis ballarae,"Fairywrens, emu-wrens and grasswrens",Passeriformes,Maluridae
563,Eyrean grasswren,Amytornis goyderi,"Fairywrens, emu-wrens and grasswrens",Passeriformes,Maluridae
564,Black grasswren,Amytornis housei,"Fairywrens, emu-wrens and grasswrens",Passeriformes,Maluridae
565,Eastern bristlebird,Dasyornis brachypterus,Bristlebirds,Passeriformes,Dasyornithidae
566,Western bristlebird,Dasyornis longirostris,Bristlebirds,Passeriformes,Dasyornithidae
567,Rufous bristlebird,Dasyornis broadbenti,Bristlebirds,Passeriformes,Dasyornithidae
568,Pilotbird,Pycnoptilus floccosus,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
569,Rockwarbler,Origma solitaria,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
570,Fernwren,Oreoscopus gutturalis,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
571,Yellow-throated scrubwren,Sericornis citreogularis,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
572,White-browed scrubwren,Sericornis frontalis,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
573,Tasmanian scrubwren,Sericornis humilis,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
574,Atherton scrubwren,Sericornis keri,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
575,Large-billed scrubwren,Sericornis magnirostra,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
