,Common name,Binomial,Category,Order,Family
111,Antipodean albatross,Diomedea antipodensis,Albatrosses,Procellariiformes,Diomedeidae
112,Southern royal albatross,Diomedea epomophora,Albatrosses,Procellariiformes,Diomedeidae
113,Northern royal albatross,Diomedea sanfordi,Albatrosses,Procellariiformes,Diomedeidae
114,Laysan albatross,Phoebastria immutabilis,Albatrosses,Procellariiformes,Diomedeidae
115,Black-browed albatross,Thalassarche melanophris,Albatrosses,Procellariiformes,Diomedeidae
116,Shy albatross,Thalassarche cauta,Albatrosses,Procellariiformes,Diomedeidae
117,Salvin's albatross,Thalassarche salvini,Albatrosses,Procellariiformes,Diomedeidae
118,Chatham albatross,Thalassarche eremita,Albatrosses,Procellariiformes,Diomedeidae
119,Campbell albatross,Thalassarche impavida,Albatrosses,Procellariiformes,Diomedeidae
120,Grey-headed albatross,Thalassarche chrysostoma,Albatrosses,Procellariiformes,Diomedeidae
121,Yellow-nosed albatross,Thalassarche carteri,Albatrosses,Procellariiformes,Diomedeidae
122,Buller's albatross,Thalassarche bulleri,Albatrosses,Procellariiformes,Diomedeidae
123,Sooty albatross,Phoebetria fusca,Albatrosses,Procellariiformes,Diomedeidae
124,Light-mantled sooty albatross,Phoebetria palpebrata,Albatrosses,Procellariiformes,Diomedeidae
125,Southern giant petrel,Macronectes giganteus,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae
126,Northern giant petrel,Macronectes halli,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae
127,Southern fulmar,Fulmarus glacialoides,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae
128,Antarctic petrel,Thalassoica antarctica,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae
129,Cape petrel,Daption capense,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae
130,Snow petrel,Pagodroma nivea,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae
131,Blue petrel,Halobaena caerulea,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae
132,Broad-billed prion,Pachyptila vittata,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae
133,Salvin's prion,Pachyptila salvini,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae
134,Antarctic prion,Pachyptila desolata,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae
135,Slender-billed prion,Pachyptila belcheri,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae
136,Fairy prion,Pachyptila turtur,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae
137,Fulmar prion,Pachyptila crassirostris,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae
138,White-chinned petrel,Procellaria aequinoctialis,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae
139,Westland petrel,Procellaria westlandica,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae
140,Black petrel,Procellaria parkinsoni,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae
141,Grey petrel,Procellaria cinerea,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae
142,Bulwer's petrel,Bulweria bulwerii,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae
143,Jouanin's petrel,Bulweria fallax,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae
144,Wedge-tailed shearwater,Ardenna pacifica,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae
145,Buller's shearwater,Ardenna bulleri,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae
146,Flesh-footed shearwater,Ardenna carneipes,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae
147,Pink-footed shearwater,Ardenna creatopus,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae
148,Great shearwater,Ardenna gravis,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae
149,Sooty shearwater,Ardenna grisea,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae
150,Short-tailed shearwater,Ardenna tenuirostris,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae
151,Streaked shearwater,Calonectris leucomelas,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae
152,Manx shearwater,Puffinus puffinus,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae
153,Newell's shearwater,Puffinus newelli,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae
