,Binomial,Category,Common name,Family,Notes,Order,colour,common_name_in_url,size,url,"('nsw', 'vic', 'tas', 'act', 'sa', 'wa', 'nt', 'qld')",nsw,vic,tas,act,sa,wa,nt,qld,min_weight,max_weight,min_length,max_length,images_url,voice_url,Description,Sourcescolour
225,Ardeola speciosa,"Bitterns, herons and egrets",Javan pond heron,Ardeidae,vagrant,Pelecaniformes,,Javan_pond_heron,,https://en.wikipedia.org/wiki/Javan_pond_heron,,,,,,,,,,,,,,,,,
226,Egretta picata,"Bitterns, herons and egrets",Pied heron,Ardeidae,,Pelecaniformes,,Pied_heron,,https://en.wikipedia.org/wiki/Pied_heron,,,,,,,,,,,,,,,,,
229,Egretta sacra,"Bitterns, herons and egrets",Eastern reef egret,Ardeidae,,Pelecaniformes,,Eastern_reef_egret,,https://en.wikipedia.org/wiki/Eastern_reef_egret,,,,,,,,,,,,,,,,,
231,Nycticorax caledonicus,"Bitterns, herons and egrets",Nankeen night heron,Ardeidae,,Pelecaniformes,,Nankeen_night_heron,,https://en.wikipedia.org/wiki/Nankeen_night_heron,,,,,,,,,,,,,,,,,
232,Gorsachius melanolophus,"Bitterns, herons and egrets",Malayan night heron,Ardeidae,"vagrant, Christmas Island",Pelecaniformes,,Malayan_night_heron,,https://en.wikipedia.org/wiki/Malayan_night_heron,,,,,,,,,,,,,,,,,
233,Plegadis falcinellus,Ibises and spoonbills,Glossy ibis,Threskiornithidae,,Pelecaniformes,,Glossy_ibis,,https://en.wikipedia.org/wiki/Glossy_ibis,,,,,,,,,,,,,,,,,
234,Threskiornis moluccus,Ibises and spoonbills,Australian white ibis,Threskiornithidae,,Pelecaniformes,,Australian_white_ibis,,https://en.wikipedia.org/wiki/Australian_white_ibis,,,,,,,,,,,,,,,,,
236,Platalea regia,Ibises and spoonbills,Royal spoonbill,Threskiornithidae,,Pelecaniformes,,Royal_spoonbill,,https://en.wikipedia.org/wiki/Royal_spoonbill,,,,,,,,,,,,,,,,,
239,Elanus axillaris,"Hawks, kites and eagles",Black-shouldered kite,Accipitridae,,Accipitriformes,,Black-shouldered_kite,,https://en.wikipedia.org/wiki/Black-shouldered_kite,,,,,,,,,,,,,,,,,
240,Elanus scriptus,"Hawks, kites and eagles",Letter-winged kite,Accipitridae,,Accipitriformes,,Letter-winged_kite,,https://en.wikipedia.org/wiki/Letter-winged_kite,,,,,,,,,,,,,,,,,
241,Lophoictinia isura,"Hawks, kites and eagles",Square-tailed kite,Accipitridae,,Accipitriformes,,Square-tailed_kite,,https://en.wikipedia.org/wiki/Square-tailed_kite,,,,,,,,,,,,,,,,,
242,Hamirostra melanosternon,"Hawks, kites and eagles",Black-breasted buzzard,Accipitridae,,Accipitriformes,,Black-breasted_buzzard,,https://en.wikipedia.org/wiki/Black-breasted_buzzard,,,,,,,,,,,,,,,,,
243,Pernis ptilorhynchus,"Hawks, kites and eagles",Crested honey buzzard,Accipitridae,vagrant,Accipitriformes,,Crested_honey_buzzard,,https://en.wikipedia.org/wiki/Crested_honey_buzzard,,,,,,,,,,,,,,,,,
244,Aviceda subcristata,"Hawks, kites and eagles",Pacific baza,Accipitridae,,Accipitriformes,,Pacific_baza,,https://en.wikipedia.org/wiki/Pacific_baza,,,,,,,,,,,,,,,,,
246,Haliastur sphenurus,"Hawks, kites and eagles",Whistling kite,Accipitridae,,Accipitriformes,,Whistling_kite,,https://en.wikipedia.org/wiki/Whistling_kite,,,,,,,,,,,,,,,,,
248,Milvus migrans,"Hawks, kites and eagles",Black kite,Accipitridae,,Accipitriformes,,Black_kite,,https://en.wikipedia.org/wiki/Black_kite,,,,,,,,,,,,,,,,,
249,Accipiter fasciatus,"Hawks, kites and eagles",Brown goshawk,Accipitridae,,Accipitriformes,,Brown_goshawk,,https://en.wikipedia.org/wiki/Brown_goshawk,,,,,,,,,,,,,,,,,
250,Accipiter cirrocephalus,"Hawks, kites and eagles",Collared sparrowhawk,Accipitridae,,Accipitriformes,,Collared_sparrowhawk,,https://en.wikipedia.org/wiki/Collared_sparrowhawk,,,,,,,,,,,,,,,,,
251,Accipiter hiogaster,"Hawks, kites and eagles",Variable goshawk,Accipitridae,Christmas Island,Accipitriformes,,Variable_goshawk,,https://en.wikipedia.org/wiki/Variable_goshawk,,,,,,,,,,,,,,,,,
252,Accipiter novaehollandiae,"Hawks, kites and eagles",Grey goshawk,Accipitridae,,Accipitriformes,,Grey_goshawk,,https://en.wikipedia.org/wiki/Grey_goshawk,,,,,,,,,,,,,,,,,
253,Circus assimilis,"Hawks, kites and eagles",Spotted harrier,Accipitridae,,Accipitriformes,,Spotted_harrier,,https://en.wikipedia.org/wiki/Spotted_harrier,,,,,,,,,,,,,,,,,
255,Erythrotriorchis radiatus,"Hawks, kites and eagles",Red goshawk,Accipitridae,,Accipitriformes,,Red_goshawk,,https://en.wikipedia.org/wiki/Red_goshawk,,,,,,,,,,,,,,,,,
256,Aquila gurneyi,"Hawks, kites and eagles",Gurney's eagle,Accipitridae,"vagrant, Torres Strait",Accipitriformes,,Gurney's_eagle,,https://en.wikipedia.org/wiki/Gurney's_eagle,,,,,,,,,,,,,,,,,
259,Pandion haliaetus / Pandion cristatus,Osprey,Eastern osprey,Pandionidae,,Accipitriformes,,Eastern_osprey,,https://en.wikipedia.org/wiki/Eastern_osprey,,,,,,,,,,,,,,,,,
260,Falco cenchroides,Falcons,Nankeen kestrel,Falconidae,,Falconiformes,,Nankeen_kestrel,,https://en.wikipedia.org/wiki/Nankeen_kestrel,,,,,,,,,,,,,,,,,
262,Falco longipennis,Falcons,Australian hobby,Falconidae,,Falconiformes,,Australian_hobby,,https://en.wikipedia.org/wiki/Australian_hobby,,,,,,,,,,,,,,,,,
263,Falco hypoleucos,Falcons,Grey falcon,Falconidae,,Falconiformes,,Grey_falcon,,https://en.wikipedia.org/wiki/Grey_falcon,,,,,,,,,,,,,,,,,
264,Falco subniger,Falcons,Black falcon,Falconidae,,Falconiformes,,Black_falcon,,https://en.wikipedia.org/wiki/Black_falcon,,,,,,,,,,,,,,,,,
268,Porphyrio melanotus,"Rails, crakes and coots",Australasian swamphen,Rallidae,,Gruiformes,,Australasian_swamphen,,https://en.wikipedia.org/wiki/Australasian_swamphen,,,,,,,,,,,,,,,,,
269,Porphyrio albus,"Rails, crakes and coots",White gallinule,Rallidae,"extinct, Lord Howe Island",Gruiformes,,White_gallinule,,https://en.wikipedia.org/wiki/White_gallinule,,,,,,,,,,,,,,,,,
270,Eulabeornis castaneoventris,"Rails, crakes and coots",Chestnut rail,Rallidae,,Gruiformes,,Chestnut_rail,,https://en.wikipedia.org/wiki/Chestnut_rail,,,,,,,,,,,,,,,,,
271,Rallina tricolor,"Rails, crakes and coots",Red-necked crake,Rallidae,,Gruiformes,,Red-necked_crake,,https://en.wikipedia.org/wiki/Red-necked_crake,,,,,,,,,,,,,,,,,
273,Lewinia pectoralis,"Rails, crakes and coots",Lewin's rail,Rallidae,,Gruiformes,,Lewin's_rail,,https://en.wikipedia.org/wiki/Lewin's_rail,,,,,,,,,,,,,,,,,
274,Gallirallus philippensis,"Rails, crakes and coots",Buff-banded rail,Rallidae,,Gruiformes,,Buff-banded_rail,,https://en.wikipedia.org/wiki/Buff-banded_rail,,,,,,,,,,,,,,,,,
275,Gallirallus sylvestris,"Rails, crakes and coots",Lord Howe woodhen,Rallidae,Lord Howe Island,Gruiformes,,Lord_Howe_woodhen,,https://en.wikipedia.org/wiki/Lord_Howe_woodhen,,,,,,,,,,,,,,,,,
277,Porzana pusilla,"Rails, crakes and coots",Baillon's crake,Rallidae,,Gruiformes,,Baillon's_crake,,https://en.wikipedia.org/wiki/Baillon's_crake,,,,,,,,,,,,,,,,,
278,Porzana fluminea,"Rails, crakes and coots",Australian spotted crake,Rallidae,,Gruiformes,,Australian_spotted_crake,,https://en.wikipedia.org/wiki/Australian_spotted_crake,,,,,,,,,,,,,,,,,
279,Porzana fusca,"Rails, crakes and coots",Ruddy-breasted crake,Rallidae,"vagrant, Christmas Island",Gruiformes,,Ruddy-breasted_crake,,https://en.wikipedia.org/wiki/Ruddy-breasted_crake,,,,,,,,,,,,,,,,,
280,Porzana tabuensis,"Rails, crakes and coots",Spotless crake,Rallidae,,Gruiformes,,Spotless_crake,,https://en.wikipedia.org/wiki/Spotless_crake,,,,,,,,,,,,,,,,,
281,Amaurornis cinerea,"Rails, crakes and coots",White-browed crake,Rallidae,,Gruiformes,,White-browed_crake,,https://en.wikipedia.org/wiki/White-browed_crake,,,,,,,,,,,,,,,,,
282,Amaurornis moluccana,"Rails, crakes and coots",Pale-vented bush-hen,Rallidae,,Gruiformes,,Pale-vented_bush-hen,,https://en.wikipedia.org/wiki/Pale-vented_bush-hen,,,,,,,,,,,,,,,,,
284,Gallicrex cinerea,"Rails, crakes and coots",Watercock,Rallidae,"vagrant, Christmas Island",Gruiformes,,Watercock,,https://en.wikipedia.org/wiki/Watercock,,,,,,,,,,,,,,,,,
285,Tribonyx ventralis,"Rails, crakes and coots",Black-tailed nativehen,Rallidae,,Gruiformes,,Black-tailed_nativehen,,https://en.wikipedia.org/wiki/Black-tailed_nativehen,,,,,,,,,,,,,,,,,
286,Tribonyx mortierii,"Rails, crakes and coots",Tasmanian nativehen,Rallidae,,Gruiformes,,Tasmanian_nativehen,,https://en.wikipedia.org/wiki/Tasmanian_nativehen,,,,,,,,,,,,,,,,,
288,Fulica atra,"Rails, crakes and coots",Eurasian coot,Rallidae,,Gruiformes,,Eurasian_coot,,https://en.wikipedia.org/wiki/Eurasian_coot,,,,,,,,,,,,,,,,,
291,Burhinus grallarius,Stone-curlews (thick-knees),Bush stone-curlew,Burhinidae,,Charadriiformes,,Bush_stone-curlew,,https://en.wikipedia.org/wiki/Bush_stone-curlew,,,,,,,,,,,,,,,,,
292,Esacus magnirostris,Stone-curlews (thick-knees),Beach stone-curlew,Burhinidae,,Charadriiformes,,Beach_stone-curlew,,https://en.wikipedia.org/wiki/Beach_stone-curlew,,,,,,,,,,,,,,,,,
293,Haematopus finschi,Oystercatchers,South Island pied oystercatcher,Haematopodidae,vagrant,Charadriiformes,,South_Island_pied_oystercatcher,,https://en.wikipedia.org/wiki/South_Island_pied_oystercatcher,,,,,,,,,,,,,,,,,
294,Haematopus longirostris,Oystercatchers,Australian pied oystercatcher,Haematopodidae,,Charadriiformes,,Australian_pied_oystercatcher,,https://en.wikipedia.org/wiki/Australian_pied_oystercatcher,,,,,,,,,,,,,,,,,
295,Haematopus fuliginosus,Oystercatchers,Sooty oystercatcher,Haematopodidae,,Charadriiformes,,Sooty_oystercatcher,,https://en.wikipedia.org/wiki/Sooty_oystercatcher,,,,,,,,,,,,,,,,,
297,Recurvirostra novaehollandiae,Avocets and stilts,Red-necked avocet,Recurvirostridae,,Charadriiformes,,Red-necked_avocet,,https://en.wikipedia.org/wiki/Red-necked_avocet,,,,,,,,,,,,,,,,,
298,Cladorhynchus leucocephalus,Avocets and stilts,Banded stilt,Recurvirostridae,,Charadriiformes,,Banded_stilt,,https://en.wikipedia.org/wiki/Banded_stilt,,,,,,,,,,,,,,,,,
302,Charadrius hiaticula,Plovers and lapwings,Ringed plover,Charadriidae,vagrant,Charadriiformes,,Ringed_plover,,https://en.wikipedia.org/wiki/Ringed_plover,,,,,,,,,,,,,,,,,
304,Charadrius alexandrinus,Plovers and lapwings,Kentish plover,Charadriidae,vagrant,Charadriiformes,,Kentish_plover,,https://en.wikipedia.org/wiki/Kentish_plover,,,,,,,,,,,,,,,,,
305,Charadrius ruficapillus,Plovers and lapwings,Red-capped plover,Charadriidae,,Charadriiformes,,Red-capped_plover,,https://en.wikipedia.org/wiki/Red-capped_plover,,,,,,,,,,,,,,,,,
307,Charadrius mongolus,Plovers and lapwings,Lesser sand plover,Charadriidae,,Charadriiformes,,Lesser_sand_plover,,https://en.wikipedia.org/wiki/Lesser_sand_plover,,,,,,,,,,,,,,,,,
308,Charadrius leschenaultii,Plovers and lapwings,Greater sand plover,Charadriidae,,Charadriiformes,,Greater_sand_plover,,https://en.wikipedia.org/wiki/Greater_sand_plover,,,,,,,,,,,,,,,,,
309,Charadrius asiaticus,Plovers and lapwings,Caspian plover,Charadriidae,vagrant,Charadriiformes,,Caspian_plover,,https://en.wikipedia.org/wiki/Caspian_plover,,,,,,,,,,,,,,,,,
310,Charadrius veredus,Plovers and lapwings,Oriental plover,Charadriidae,,Charadriiformes,,Oriental_plover,,https://en.wikipedia.org/wiki/Oriental_plover,,,,,,,,,,,,,,,,,
311,Charadrius australis,Plovers and lapwings,Inland dotterel,Charadriidae,,Charadriiformes,,Inland_dotterel,,https://en.wikipedia.org/wiki/Inland_dotterel,,,,,,,,,,,,,,,,,
312,Elseyornis melanops,Plovers and lapwings,Black-fronted dotterel,Charadriidae,,Charadriiformes,,Black-fronted_dotterel,,https://en.wikipedia.org/wiki/Black-fronted_dotterel,,,,,,,,,,,,,,,,,
313,Thinornis cucullatus,Plovers and lapwings,Hooded plover,Charadriidae,,Charadriiformes,,Hooded_plover,,https://en.wikipedia.org/wiki/Hooded_plover,,,,,,,,,,,,,,,,,
314,Erythrogonys cinctus,Plovers and lapwings,Red-kneed dotterel,Charadriidae,,Charadriiformes,,Red-kneed_dotterel,,https://en.wikipedia.org/wiki/Red-kneed_dotterel,,,,,,,,,,,,,,,,,
315,Vanellus tricolor,Plovers and lapwings,Banded lapwing,Charadriidae,,Charadriiformes,,Banded_lapwing,,https://en.wikipedia.org/wiki/Banded_lapwing,,,,,,,,,,,,,,,,,
317,Vanellus cinereus,Plovers and lapwings,Grey-headed lapwing,Charadriidae,vagrant,Charadriiformes,,Grey-headed_lapwing,,https://en.wikipedia.org/wiki/Grey-headed_lapwing,,,,,,,,,,,,,,,,,
318,Pedionomus torquatus,Plains wanderer,Plains wanderer,Pedionomidae,,Charadriiformes,,Plains_wanderer,,https://en.wikipedia.org/wiki/Plains_wanderer,,,,,,,,,,,,,,,,,
319,Irediparra gallinacea,Jacanas,Comb-crested jacana,Jacanidae,,Charadriiformes,,Comb-crested_jacana,,https://en.wikipedia.org/wiki/Comb-crested_jacana,,,,,,,,,,,,,,,,,
321,Rostratula australis,Painted-snipe,Australian painted-snipe,Rostratulidae,,Charadriiformes,,Australian_painted-snipe,,https://en.wikipedia.org/wiki/Australian_painted-snipe,,,,,,,,,,,,,,,,,
322,Gallinago hardwickii,Waders or shorebirds,Latham's snipe,Scolopacidae,,Charadriiformes,,Latham's_snipe,,https://en.wikipedia.org/wiki/Latham's_snipe,,,,,,,,,,,,,,,,,
323,Gallinago stenura,Waders or shorebirds,Pin-tailed snipe,Scolopacidae,vagrant; Christmas Island,Charadriiformes,,Pin-tailed_snipe,,https://en.wikipedia.org/wiki/Pin-tailed_snipe,,,,,,,,,,,,,,,,,
324,Gallinago megala,Waders or shorebirds,Swinhoe's snipe,Scolopacidae,,Charadriiformes,,Swinhoe's_snipe,,https://en.wikipedia.org/wiki/Swinhoe's_snipe,,,,,,,,,,,,,,,,,
328,Numenius minutus,Waders or shorebirds,Little curlew,Scolopacidae,,Charadriiformes,,Little_curlew,,https://en.wikipedia.org/wiki/Little_curlew,,,,,,,,,,,,,,,,,
330,Numenius madagascariensis,Waders or shorebirds,Eastern curlew,Scolopacidae,,Charadriiformes,,Eastern_curlew,,https://en.wikipedia.org/wiki/Eastern_curlew,,,,,,,,,,,,,,,,,
331,Bartramia longicauda,Waders or shorebirds,Upland sandpiper,Scolopacidae,vagrant,Charadriiformes,,Upland_sandpiper,,https://en.wikipedia.org/wiki/Upland_sandpiper,,,,,,,,,,,,,,,,,
335,Tringa brevipes,Waders or shorebirds,Grey-tailed tattler,Scolopacidae,,Charadriiformes,,Grey-tailed_tattler,,https://en.wikipedia.org/wiki/Grey-tailed_tattler,,,,,,,,,,,,,,,,,
336,Tringa incana,Waders or shorebirds,Wandering tattler,Scolopacidae,,Charadriiformes,,Wandering_tattler,,https://en.wikipedia.org/wiki/Wandering_tattler,,,,,,,,,,,,,,,,,
338,Tringa guttifer,Waders or shorebirds,Nordmann's greenshank,Scolopacidae,vagrant,Charadriiformes,,Nordmann's_greenshank,,https://en.wikipedia.org/wiki/Nordmann's_greenshank,,,,,,,,,,,,,,,,,
345,Limnodromus semipalmatus,Waders or shorebirds,Asian dowitcher,Scolopacidae,,Charadriiformes,,Asian_dowitcher,,https://en.wikipedia.org/wiki/Asian_dowitcher,,,,,,,,,,,,,,,,,
346,Limnodromus griseus,Waders or shorebirds,Short-billed dowitcher,Scolopacidae,vagrant,Charadriiformes,,Short-billed_dowitcher,,https://en.wikipedia.org/wiki/Short-billed_dowitcher,,,,,,,,,,,,,,,,,
347,Calidris tenuirostris,Waders or shorebirds,Great knot,Scolopacidae,,Charadriiformes,,Great_knot,,https://en.wikipedia.org/wiki/Great_knot,,,,,,,,,,,,,,,,,
351,Calidris ruficollis,Waders or shorebirds,Red-necked stint,Scolopacidae,,Charadriiformes,,Red-necked_stint,,https://en.wikipedia.org/wiki/Red-necked_stint,,,,,,,,,,,,,,,,,
352,Calidris subminuta,Waders or shorebirds,Long-toed stint,Scolopacidae,,Charadriiformes,,Long-toed_stint,,https://en.wikipedia.org/wiki/Long-toed_stint,,,,,,,,,,,,,,,,,
354,Calidris bairdii,Waders or shorebirds,Baird's sandpiper,Scolopacidae,vagrant,Charadriiformes,,Baird's_sandpiper,,https://en.wikipedia.org/wiki/Baird%27s_sandpiper,,,,,,,,,,,,,,,,,
359,Calidris himantopus,Waders or shorebirds,Stilt sandpiper,Scolopacidae,vagrant,Charadriiformes,,Stilt_sandpiper,,https://en.wikipedia.org/wiki/Stilt_sandpiper,,,,,,,,,,,,,,,,,
363,Steganopus tricolor,Waders or shorebirds,Wilson's phalarope,Scolopacidae,vagrant,Charadriiformes,,Wilson's_phalarope,,https://en.wikipedia.org/wiki/Wilson's_phalarope,,,,,,,,,,,,,,,,,
365,Phalaropus fulicarius,Waders or shorebirds,Grey phalarope,Scolopacidae,vagrant,Charadriiformes,,Grey_phalarope,,https://en.wikipedia.org/wiki/Grey_phalarope,,,,,,,,,,,,,,,,,
366,Turnix maculosus,Buttonquail,Red-backed buttonquail,Turnicidae,,Charadriiformes,,Red-backed_buttonquail,,https://en.wikipedia.org/wiki/Red-backed_buttonquail,,,,,,,,,,,,,,,,,
367,Turnix melanogaster,Buttonquail,Black-breasted buttonquail,Turnicidae,,Charadriiformes,,Black-breasted_buttonquail,,https://en.wikipedia.org/wiki/Black-breasted_buttonquail,,,,,,,,,,,,,,,,,
368,Turnix castanotus,Buttonquail,Chestnut-backed buttonquail,Turnicidae,,Charadriiformes,,Chestnut-backed_buttonquail,,https://en.wikipedia.org/wiki/Chestnut-backed_buttonquail,,,,,,,,,,,,,,,,,
369,Turnix olivii,Buttonquail,Buff-breasted buttonquail,Turnicidae,,Charadriiformes,,Buff-breasted_buttonquail,,https://en.wikipedia.org/wiki/Buff-breasted_buttonquail,,,,,,,,,,,,,,,,,
370,Turnix varius,Buttonquail,Painted buttonquail,Turnicidae,,Charadriiformes,,Painted_buttonquail,,https://en.wikipedia.org/wiki/Painted_buttonquail,,,,,,,,,,,,,,,,,
371,Turnix pyrrhothorax,Buttonquail,Red-chested buttonquail,Turnicidae,,Charadriiformes,,Red-chested_buttonquail,,https://en.wikipedia.org/wiki/Red-chested_buttonquail,,,,,,,,,,,,,,,,,
372,Turnix velox,Buttonquail,Little buttonquail,Turnicidae,,Charadriiformes,,Little_buttonquail,,https://en.wikipedia.org/wiki/Little_buttonquail,,,,,,,,,,,,,,,,,
373,Glareola maldivarum,Pratincoles,Oriental pratincole,Glareolidae,,Charadriiformes,,Oriental_pratincole,,https://en.wikipedia.org/wiki/Oriental_pratincole,,,,,,,,,,,,,,,,,
374,Stiltia isabella,Pratincoles,Australian pratincole,Glareolidae,,Charadriiformes,,Australian_pratincole,,https://en.wikipedia.org/wiki/Australian_pratincole,,,,,,,,,,,,,,,,,
377,Stercorarius pomarinus,Skuas,Pomarine jaeger,Stercorariidae,,Charadriiformes,,Pomarine_jaeger,,https://en.wikipedia.org/wiki/Pomarine_jaeger,,,,,,,,,,,,,,,,,
378,Stercorarius parasiticus,Skuas,Arctic jaeger,Stercorariidae,,Charadriiformes,,Arctic_jaeger,,https://en.wikipedia.org/wiki/Arctic_jaeger,,,,,,,,,,,,,,,,,
380,Anous stolidus,Gulls and terns,Common noddy,Laridae,,Charadriiformes,,Common_noddy,,https://en.wikipedia.org/wiki/Common_noddy,,,,,,,,,,,,,,,,,
381,Anous minutus,Gulls and terns,Black noddy,Laridae,,Charadriiformes,,Black_noddy,,https://en.wikipedia.org/wiki/Black_noddy,,,,,,,,,,,,,,,,,
382,Anous tenuirostris,Gulls and terns,Lesser noddy,Laridae,,Charadriiformes,,Lesser_noddy,,https://en.wikipedia.org/wiki/Lesser_noddy,,,,,,,,,,,,,,,,,
384,Procelsterna cerulea,Gulls and terns,Grey ternlet,Laridae,vagrant; Lord Howe Island; Norfolk Island,Charadriiformes,,Grey_ternlet,,https://en.wikipedia.org/wiki/Grey_ternlet,,,,,,,,,,,,,,,,,
385,Onychoprion anaethetus,Gulls and terns,Bridled tern,Laridae,,Charadriiformes,,Bridled_tern,,https://en.wikipedia.org/wiki/Bridled_tern,,,,,,,,,,,,,,,,,
388,Sternula nereis,Gulls and terns,Fairy tern,Laridae,,Charadriiformes,,Fairy_tern,,https://en.wikipedia.org/wiki/Fairy_tern,,,,,,,,,,,,,,,,,
389,Gelochelidon nilotica,Gulls and terns,Gull-billed tern,Laridae,,Charadriiformes,,Gull-billed_tern,,https://en.wikipedia.org/wiki/Gull-billed_tern,,,,,,,,,,,,,,,,,
390,Hydroprogne caspia,Gulls and terns,Caspian tern,Laridae,,Charadriiformes,,Caspian_tern,,https://en.wikipedia.org/wiki/Caspian_tern,,,,,,,,,,,,,,,,,
391,Chlidonias hybrida,Gulls and terns,Whiskered tern,Laridae,,Charadriiformes,,Whiskered_tern,,https://en.wikipedia.org/wiki/Whiskered_tern,,,,,,,,,,,,,,,,,
392,Chlidonias leucopterus,Gulls and terns,White-winged black tern,Laridae,,Charadriiformes,,White-winged_black_tern,,https://en.wikipedia.org/wiki/White-winged_black_tern,,,,,,,,,,,,,,,,,
394,Sterna dougallii,Gulls and terns,Roseate tern,Laridae,,Charadriiformes,,Roseate_tern,,https://en.wikipedia.org/wiki/Roseate_tern,,,,,,,,,,,,,,,,,
396,Sterna sumatrana,Gulls and terns,Black-naped tern,Laridae,,Charadriiformes,,Black-naped_tern,,https://en.wikipedia.org/wiki/Black-naped_tern,,,,,,,,,,,,,,,,,
400,Thalasseus bengalensis,Gulls and terns,Lesser crested tern,Laridae,,Charadriiformes,,Lesser_crested_tern,,https://en.wikipedia.org/wiki/Lesser_crested_tern,,,,,,,,,,,,,,,,,
401,Thalasseus bergii,Gulls and terns,Crested tern,Laridae,,Charadriiformes,,Crested_tern,,https://en.wikipedia.org/wiki/Crested_tern,,,,,,,,,,,,,,,,,
406,Larus crassirostris,Gulls and terns,Black-tailed gull,Laridae,vagrant,Charadriiformes,,Black-tailed_gull,,https://en.wikipedia.org/wiki/Black-tailed_gull,,,,,,,,,,,,,,,,,
408,Leucophaeus pipixcan,Gulls and terns,Franklin's gull,Laridae,vagrant,Charadriiformes,,Franklin's_gull,,https://en.wikipedia.org/wiki/Franklin's_gull,,,,,,,,,,,,,,,,,
411,Xema sabini,Gulls and terns,Sabine's gull,Laridae,vagrant,Charadriiformes,,Sabine's_gull,,https://en.wikipedia.org/wiki/Sabine's_gull,,,,,,,,,,,,,,,,,
412,Nestor productus,Parrots and allies,Norfolk kaka,"Strigopidae, Cacatuidae and Psittaculidae","extinct, Norfolk Island",Psittaciformes,,Norfolk_kaka,,https://en.wikipedia.org/wiki/Norfolk_kaka,,,,,,,,,,,,,,,,,
413,Probosciger aterrimus,Parrots and allies,Palm cockatoo,"Strigopidae, Cacatuidae and Psittaculidae",,Psittaciformes,,Palm_cockatoo,,https://en.wikipedia.org/wiki/Palm_cockatoo,,,,,,,,,,,,,,,,,
415,Calyptorhynchus lathami,Parrots and allies,Glossy black cockatoo,"Strigopidae, Cacatuidae and Psittaculidae",,Psittaciformes,,Glossy_black_cockatoo,,https://en.wikipedia.org/wiki/Glossy_black_cockatoo,,,,,,,,,,,,,,,,,
416,Calyptorhynchus funereus,Parrots and allies,Yellow-tailed black cockatoo,"Strigopidae, Cacatuidae and Psittaculidae",,Psittaciformes,,Yellow-tailed_black_cockatoo,,https://en.wikipedia.org/wiki/Yellow-tailed_black_cockatoo,,,,,,,,,,,,,,,,,
417,Calyptorhynchus latirostris,Parrots and allies,Carnaby's black cockatoo,"Strigopidae, Cacatuidae and Psittaculidae",,Psittaciformes,,Carnaby's_black_cockatoo,,https://en.wikipedia.org/wiki/Carnaby's_black_cockatoo,,,,,,,,,,,,,,,,,
418,Calyptorhynchus baudinii,Parrots and allies,Baudin's black cockatoo,"Strigopidae, Cacatuidae and Psittaculidae",,Psittaciformes,,Baudin's_black_cockatoo,,https://en.wikipedia.org/wiki/Baudin's_black_cockatoo,,,,,,,,,,,,,,,,,
420,Lophochroa leadbeateri,Parrots and allies,Major Mitchell's cockatoo,"Strigopidae, Cacatuidae and Psittaculidae",,Psittaciformes,,Major_Mitchell's_cockatoo,,https://en.wikipedia.org/wiki/Major_Mitchell's_cockatoo,,,,,,,,,,,,,,,,,
424,Cacatua sanguinea,Parrots and allies,Little corella,"Strigopidae, Cacatuidae and Psittaculidae",,Psittaciformes,,Little_corella,,https://en.wikipedia.org/wiki/Little_corella,,,,,,,,,,,,,,,,,
428,Trichoglossus rubritorquis,Parrots and allies,Red-collared lorikeet,"Strigopidae, Cacatuidae and Psittaculidae",,Psittaciformes,,Red-collared_lorikeet,,https://en.wikipedia.org/wiki/Red-collared_lorikeet,,,,,,,,,,,,,,,,,
429,Trichoglossus haematodus,Parrots and allies,Coconut lorikeet,"Strigopidae, Cacatuidae and Psittaculidae",Saibai Island,Psittaciformes,,Coconut_lorikeet,,https://en.wikipedia.org/wiki/Coconut_lorikeet,,,,,,,,,,,,,,,,,
430,Trichoglossus chlorolepidotus,Parrots and allies,Scaly-breasted lorikeet,"Strigopidae, Cacatuidae and Psittaculidae",,Psittaciformes,,Scaly-breasted_lorikeet,,https://en.wikipedia.org/wiki/Scaly-breasted_lorikeet,,,,,,,,,,,,,,,,,
431,Psitteuteles versicolor,Parrots and allies,Varied lorikeet,"Strigopidae, Cacatuidae and Psittaculidae",,Psittaciformes,,Varied_lorikeet,,https://en.wikipedia.org/wiki/Varied_lorikeet,,,,,,,,,,,,,,,,,
432,Glossopsitta concinna,Parrots and allies,Musk lorikeet,"Strigopidae, Cacatuidae and Psittaculidae",,Psittaciformes,,Musk_lorikeet,,https://en.wikipedia.org/wiki/Musk_lorikeet,,,,,,,,,,,,,,,,,
433,Glossopsitta pusilla,Parrots and allies,Little lorikeet,"Strigopidae, Cacatuidae and Psittaculidae",,Psittaciformes,,Little_lorikeet,,https://en.wikipedia.org/wiki/Little_lorikeet,,,,,,,,,,,,,,,,,
434,Glossopsitta porphyrocephala,Parrots and allies,Purple-crowned lorikeet,"Strigopidae, Cacatuidae and Psittaculidae",,Psittaciformes,,Purple-crowned_lorikeet,,https://en.wikipedia.org/wiki/Purple-crowned_lorikeet,,,,,,,,,,,,,,,,,
435,Cyclopsitta diophthalma,Parrots and allies,Double-eyed fig parrot,"Strigopidae, Cacatuidae and Psittaculidae",,Psittaciformes,,Double-eyed_fig_parrot,,https://en.wikipedia.org/wiki/Double-eyed_fig_parrot,,,,,,,,,,,,,,,,,
