,Binomial,Category,Common name,Family,Notes,Order,colour,common_name_in_url,size,url,"('nsw', 'vic', 'tas', 'act', 'sa', 'wa', 'nt', 'qld')",nsw,vic,tas,act,sa,wa,nt,qld,min_weight,max_weight,min_length,max_length,images_url,voice_url,Description,Sourcescolour
74,Ptilinopus superbus,Pigeons and doves,Superb fruit dove,Columbidae,,Columbiformes,,Superb_fruit_dove,,https://en.wikipedia.org/wiki/Superb_fruit_dove,,,,,,,,,,,,,,,,,
75,Ptilinopus regina,Pigeons and doves,Rose-crowned fruit dove,Columbidae,,Columbiformes,,Rose-crowned_fruit_dove,,https://en.wikipedia.org/wiki/Rose-crowned_fruit_dove,,,,,,,,,,,,,,,,,
76,Ptilinopus iozonus,Pigeons and doves,Orange-bellied fruit dove,Columbidae,"vagrant, Torres Strait",Columbiformes,,Orange-bellied_fruit_dove,,https://en.wikipedia.org/wiki/Orange-bellied_fruit_dove,,,,,,,,,,,,,,,,,
77,Ducula concinna,Pigeons and doves,Elegant imperial pigeon,Columbidae,vagrant,Columbiformes,,Elegant_imperial_pigeon,,https://en.wikipedia.org/wiki/Elegant_imperial_pigeon,,,,,,,,,,,,,,,,,
78,Ducula whartoni,Pigeons and doves,Christmas imperial pigeon,Columbidae,Christmas Island,Columbiformes,,Christmas_imperial_pigeon,,https://en.wikipedia.org/wiki/Christmas_imperial_pigeon,,,,,,,,,,,,,,,,,
79,Ducula mullerii,Pigeons and doves,Collared imperial pigeon,Columbidae,"vagrant, Torres Strait",Columbiformes,,Collared_imperial_pigeon,,https://en.wikipedia.org/wiki/Collared_imperial_pigeon,,,,,,,,,,,,,,,,,
80,Ducula spilorrhoa,Pigeons and doves,Torresian imperial pigeon,Columbidae,,Columbiformes,,Torresian_imperial_pigeon,,https://en.wikipedia.org/wiki/Torresian_imperial_pigeon,,,,,,,,,,,,,,,,,
81,Lopholaimus antarcticus,Pigeons and doves,Topknot pigeon,Columbidae,,Columbiformes,,Topknot_pigeon,,https://en.wikipedia.org/wiki/Topknot_pigeon,,,,,,,,,,,,,,,,,
84,Podargus papuensis,Frogmouths,Papuan frogmouth,Podargidae,,Podargiformes,,Papuan_frogmouth,,https://en.wikipedia.org/wiki/Papuan_frogmouth,,,,,,,,,,,,,,,,,
85,Podargus ocellatus,Frogmouths,Marbled frogmouth,Podargidae,,Podargiformes,,Marbled_frogmouth,,https://en.wikipedia.org/wiki/Marbled_frogmouth,,,,,,,,,,,,,,,,,
86,Eurostopodus mystacalis,Nightjars,White-throated nightjar,Eurostopodidae and Caprimulgidae,,Caprimulgiformes,,White-throated_nightjar,,https://en.wikipedia.org/wiki/White-throated_nightjar,,,,,,,,,,,,,,,,,
87,Eurostopodus argus,Nightjars,Spotted nightjar,Eurostopodidae and Caprimulgidae,,Caprimulgiformes,,Spotted_nightjar,,https://en.wikipedia.org/wiki/Spotted_nightjar,,,,,,,,,,,,,,,,,
89,Caprimulgus affinis,Nightjars,Savanna nightjar,Eurostopodidae and Caprimulgidae,"vagrant, Christmas Island",Caprimulgiformes,,Savanna_nightjar,,https://en.wikipedia.org/wiki/Savanna_nightjar,,,,,,,,,,,,,,,,,
90,Caprimulgus jotaka,Nightjars,Grey nightjar,Eurostopodidae and Caprimulgidae,"vagrant, Ashmore Reef",Caprimulgiformes,,Grey_nightjar,,https://en.wikipedia.org/wiki/Grey_nightjar,,,,,,,,,,,,,,,,,
91,Aegotheles cristatus,Owlet-nightjars,Australian owlet-nightjar,Aegothelidae,,Aegotheliformes,,Australian_owlet-nightjar,,https://en.wikipedia.org/wiki/Australian_owlet-nightjar,,,,,,,,,,,,,,,,,
92,Collocalia esculenta,Swifts,Glossy swiftlet,Apodidae,vagrant,Apodiformes,,Glossy_swiftlet,,https://en.wikipedia.org/wiki/Glossy_swiftlet,,,,,,,,,,,,,,,,,
93,Collocalia linchi,Swifts,Cave swiftlet,Apodidae,Christmas Island,Apodiformes,,Cave_swiftlet,,https://en.wikipedia.org/wiki/Cave_swiftlet,,,,,,,,,,,,,,,,,
94,Aerodramus terraereginae,Swifts,Australian swiftlet,Apodidae,,Apodiformes,,Australian_swiftlet,,https://en.wikipedia.org/wiki/Australian_swiftlet,,,,,,,,,,,,,,,,,
95,Aerodramus vanikorensis,Swifts,Uniform swiftlet,Apodidae,vagrant,Apodiformes,,Uniform_swiftlet,,https://en.wikipedia.org/wiki/Uniform_swiftlet,,,,,,,,,,,,,,,,,
96,Hirundapus caudacutus,Swifts,White-throated needletail,Apodidae,,Apodiformes,,White-throated_needletail,,https://en.wikipedia.org/wiki/White-throated_needletail,,,,,,,,,,,,,,,,,
97,Mearnsia novaeguineae,Swifts,Papuan spine-tailed swift,Apodidae,"vagrant, Torres Strait",Apodiformes,,Papuan_spine-tailed_swift,,https://en.wikipedia.org/wiki/Papuan_spine-tailed_swift,,,,,,,,,,,,,,,,,
98,Apus pacificus,Swifts,Pacific swift,Apodidae,,Apodiformes,,Pacific_swift,,https://en.wikipedia.org/wiki/Pacific_swift,,,,,,,,,,,,,,,,,
99,Apus affinis,Swifts,House swift,Apodidae,vagrant,Apodiformes,,House_swift,,https://en.wikipedia.org/wiki/House_swift,,,,,,,,,,,,,,,,,
100,Hydrobates monorhis,Storm petrels,Swinhoe's storm petrel,Hydrobatidae,vagrant,Procellariiformes,,Swinhoe's_storm_petrel,,https://en.wikipedia.org/wiki/Swinhoe's_storm_petrel,,,,,,,,,,,,,,,,,
101,Hydrobates leucorhoa,Storm petrels,Leach's storm petrel,Hydrobatidae,vagrant,Procellariiformes,,Leach's_storm_petrel,,https://en.wikipedia.org/wiki/Leach's_storm_petrel,,,,,,,,,,,,,,,,,
102,Hydrobates tristrami,Storm petrels,Tristram's storm petrel,Hydrobatidae,vagrant,Procellariiformes,,Tristram's_storm_petrel,,https://en.wikipedia.org/wiki/Tristram's_storm_petrel,,,,,,,,,,,,,,,,,
103,Hydrobates matsudairae,Storm petrels,Matsudaira's storm petrel,Hydrobatidae,vagrant,Procellariiformes,,Matsudaira's_storm_petrel,,https://en.wikipedia.org/wiki/Matsudaira's_storm_petrel,,,,,,,,,,,,,,,,,
104,Nesofregetta fuliginosa,Storm petrels,Polynesian storm petrel,Hydrobatidae,vagrant,Procellariiformes,,Polynesian_storm_petrel,,https://en.wikipedia.org/wiki/Polynesian_storm_petrel,,,,,,,,,,,,,,,,,
105,Oceanites oceanicus,Storm petrels,Wilson's storm petrel,Hydrobatidae,,Procellariiformes,,Wilson's_storm_petrel,,https://en.wikipedia.org/wiki/Wilson's_storm_petrel,,,,,,,,,,,,,,,,,
107,Pelagodroma marina,Storm petrels,White-faced storm petrel,Hydrobatidae,,Procellariiformes,,White-faced_storm_petrel,,https://en.wikipedia.org/wiki/White-faced_storm_petrel,,,,,,,,,,,,,,,,,
109,Fregetta grallaria,Storm petrels,White-bellied storm petrel,Hydrobatidae,,Procellariiformes,,White-bellied_storm_petrel,,https://en.wikipedia.org/wiki/White-bellied_storm_petrel,,,,,,,,,,,,,,,,,
117,Thalassarche salvini,Albatrosses,Salvin's albatross,Diomedeidae,,Procellariiformes,,Salvin's_albatross,,https://en.wikipedia.org/wiki/Salvin's_albatross,,,,,,,,,,,,,,,,,
118,Thalassarche eremita,Albatrosses,Chatham albatross,Diomedeidae,,Procellariiformes,,Chatham_albatross,,https://en.wikipedia.org/wiki/Chatham_albatross,,,,,,,,,,,,,,,,,
